Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    252,28;  252,25;2024-05-27
367698;abrdn SICAV I - European Sustainable Equity Fund A;    986,38;  986,26;2024-05-27
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  28284,23;28280,56;2024-05-27
848069;abrdn SICAV I - Global Innovation Equity Fund A;     93,89;   93,88;2024-05-27
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    138,70;  138,68;2024-05-27
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     51,65;   51,64;2024-05-27
900894;abrdn SICAV I - Select Euro High Yield Bond A;    294,31;  294,27;2024-05-27
897520;AIFM Proethos fond;    191,02;  191,02;2024-05-27
182584;Aktia Capital Placeringsfond B;     55,83;   55,83;2024-05-27
339473;Aktia Nordic Small Cap Placeringsfond B;     53,55;   53,54;2024-05-27
308908;Aktie-Ansvar Avkastningsfond A;    123,58;  123,58;2024-05-27
344739;Aktie-Ansvar Sverige A;    926,19;  926,19;2024-05-27
528894;Aktiespararna Direktavkastning;    219,56;  219,56;2024-05-27
290072;Aktiespararna Topp Sverige;     32,25;   32,25;2024-05-27
147348;Alfred Berg Aktiv C;   2960,02; 2958,85;2024-05-27
183178;Alfred Berg Norge C;   1696,46; 1695,79;2024-05-27
111518;Alfred Berg Obligasjon C;    118,02;  117,97;2024-05-27
933359;Allianz China A-shares AT;    102,37;  102,36;2024-05-27
753731;Allianz China Equity A;    543,97;  543,89;2024-05-27
717900;Allianz Euro High Yield Bond A;   1287,08; 1286,91;2024-05-24
538751;Allianz Europe Small Cap Equity AT;   3604,39; 3603,92;2024-05-27
273839;Allianz Global Equity Growth AT;    124,99;  124,97;2024-05-27
502922;Allianz Global Metals and Mining A;    743,84;  743,74;2024-05-27
878694;Allianz Global Water AT;   2131,52; 2131,25;2024-05-24
309666;Allianz Pet and Animal Wellbeing AT;     85,32;   85,31;2024-05-24
823096;AMF Aktiefond Asien Stilla Havet;    319,74;  319,74;2024-05-27
538462;AMF Aktiefond Europa;    362,78;  362,78;2024-05-27
908277;AMF Aktiefond Global;    384,99;  384,99;2024-05-24
520692;AMF Aktiefond Nordamerika;    673,45;  673,45;2024-05-24
269357;AMF Aktiefond Småbolag;   1292,25; 1292,25;2024-05-27
681783;AMF Aktiefond Sverige;    978,49;  978,49;2024-05-27
645952;AMF Aktiefond Världen;    732,75;  732,75;2024-05-27
610121;AMF Balansfond;    418,24;  418,24;2024-05-27
305185;AMF Räntefond Kort;    117,38;  117,38;2024-05-27
574293;AMF Räntefond Lång;    148,94;  148,94;2024-05-27
265512;AMF Räntefond Mix;    111,31;  111,31;2024-05-27
791863;Amundi Funds Global Equity Conservative A2;   1380,93; 1380,73;2024-05-24
174490;Amundi Funds Japan Equity Value A2;   1282,09; 1281,71;2024-05-24
756031;Amundi Funds Latin America Equity A2;   5946,05; 5945,22;2024-05-24
720201;Amundi Funds SBI FM India Equity A2;   4511,94; 4511,31;2024-05-24
863522;Amundi Funds Volatility World A2;   1019,18; 1019,03;2024-05-24
581371;AP7 Aktiefond;    679,87;  679,87;2024-05-27
545541;AP7 Räntefond;    111,52;  111,52;2024-05-27
715955;Avanza Emerging Markets;    130,47;  130,47;2024-05-24
680124;Avanza Global;    204,67;  204,67;2024-05-24
734491;Avanza Zero ;    431,27;  431,27;2024-05-27
294322;AXA IM Globlal Equity QI B;    335,06;  335,01;2024-05-23
401810;AXA IM Pacific Ex-Japan Equity QI B;    474,35;  474,28;2024-05-24
616797;AXA IM US Equity QI B;    433,41;  433,35;2024-05-23
477729;Baring Asia Growth A;   1191,08; 1190,91;2024-05-24
191080;Baring Global Emerging Markets A;    456,41;  456,34;2024-05-24
262741;Baring Global Resources A;    263,34;  263,30;2024-05-24
334409;Baring Hong Kong China A;  10828,23;10826,72;2024-05-24
235291;Baring Latin America A;    377,01;  376,95;2024-05-24
285990;BL - American Small & Mid Caps B;   2626,37; 2626,00;2024-05-24
551804;BL - Bond Dollar B;    947,62;  947,49;2024-05-24
178509;BL - Bond Emerging Markets Euro B;   1178,95; 1178,80;2024-05-24
153833;BL - Emerging Markets B;   1994,79; 1994,54;2024-05-24
300996;BL - Equities America B;   1141,44; 1141,28;2024-05-24
321828;BL - Equities Asia B;   1124,14; 1123,99;2024-05-24
118000;BL - Equities Dividend B;   3015,15; 3014,76;2024-05-24
336826;BL - Equities Europe B;   1339,05; 1338,87;2024-05-24
142679;BL - Equities Japan B;   1943,63; 1943,06;2024-05-24
250167;BL - European Small & Mid Caps B;   2680,07; 2679,72;2024-05-24
480145;BL - Global 30 B;   1191,04; 1190,89;2024-05-24
444315;BL - Global 50 B;   1247,20; 1247,04;2024-05-24
408484;BL - Global 75 B;   1255,22; 1255,06;2024-05-24
515973;BL - Global Bond Opportunities B;   1078,61; 1078,47;2024-05-24
320358;BL - Global Equities B;   1433,22; 1433,04;2024-05-24
647669;BL - Global Flexible B;   2332,43; 2332,13;2024-05-24
214338;BL - Global Flexible USD B;   1911,04; 1910,77;2024-05-24
608463;BlackRock - Asian Dragon Fund A2;    493,52;  493,45;2024-05-27
391896;BlackRock - China A2;    169,76;  169,74;2024-05-27
231100;BlackRock - Emerging Markets A2;    413,70;  413,64;2024-05-27
916122;BlackRock - Euro Markets A2;    529,23;  529,17;2024-05-27
696898;BlackRock - European Value A2;   1177,33; 1177,18;2024-05-27
302760;BlackRock - Global Allocation A2;    819,84;  819,72;2024-05-27
572637;BlackRock - Global High Yield Bond Fund A2;    313,63;  313,59;2024-05-27
768499;BlackRock - India A2;    608,94;  608,85;2024-05-27
159442;BlackRock - Japan Small & MidCap A2;    746,84;  746,73;2024-05-27
661066;BlackRock - Latin American A2;    752,38;  752,27;2024-05-27
536806;BlackRock - Natural Resources Growth & Income Fund A2;    145,25;  145,23;2024-05-27
553578;BlackRock - Sustainable Energy A2;    186,07;  186,04;2024-05-27
768556;BlackRock - US Basic Value A2;   1366,53; 1366,34;2024-05-27
804385;BlackRock - US Flexible Equity A2;    701,01;  700,91;2024-05-27
625236;BlackRock - US Mid-Cap Value Fund A2;   3897,97; 3897,43;2024-05-27
517748;BlackRock - World Energy A2;    276,65;  276,61;2024-05-27
410258;BlackRock - World Financials A2;    506,52;  506,45;2024-05-27
338590;BlackRock - World Gold A2;    410,82;  410,77;2024-05-27
374421;BlackRock - World Healthscience A2;    751,63;  751,53;2024-05-27
481911;BlackRock - World Mining A2;    712,52;  712,42;2024-05-27
644294;BlackRock - World Real Estate Securities Fund A2;    155,16;  155,14;2024-05-27
446088;BlackRock - World Technology A2;    899,87;  899,74;2024-05-27
422709;BMC Global Select fund;    376,53;  376,53;2024-05-27
408062;C WorldWide Asia 1A;   2081,51; 2081,21;2024-05-27
515554;C WorldWide Global Equities 1A;   2287,40; 2287,08;2024-05-27
479725;C WorldWide Global Equities Ethical 1A;    417,54;  417,48;2024-05-27
443895;C WorldWide Healthcare Select 1A;   1726,11; 1725,89;2024-05-27
792697;C WorldWide Sweden 1A;    421,45;  421,45;2024-05-27
721035;C WorldWide Sweden Small Cap 1A;    748,34;  748,34;2024-05-27
345497;Captor Dahlia Green Bond A;    278,22;  278,22;2024-05-24
180927;Captor Iris Bond A;    251,12;  251,12;2024-05-24
320176;Carnegie Fastighetsfond Norden A;    538,24;  538,24;2024-05-27
505586;Carnegie Indienfond A;    896,31;  896,31;2024-05-27
214163;Carnegie Likviditetsfond A;   1290,53; 1290,53;2024-05-27
341362;Carnegie Listed Private Equity A;    700,19;  700,19;2024-05-24
554691;Carnegie Obligationsfond A;    957,45;  957,45;2024-05-27
584912;Carnegie Småbolagsfond A;    558,45;  558,45;2024-05-27
357483;Carnegie Strategifond A;   2237,36; 2237,36;2024-05-27
393314;Carnegie Sverigefond A;   4916,55; 4916,55;2024-05-27
309492;CB European Quality Fund A Cap;   2142,57; 2142,29;2024-05-24
976506;CB Save Earth Fund RC;    352,52;  352,48;2024-05-24
384750;Cicero Avkastning A;    131,78;  131,78;2024-05-27
959502;Cicero Hållbar Mix A;    177,74;  177,74;2024-05-27
386870;Coeli - Nordic Corporate Bond Fund R;    116,35;  116,35;2024-05-27
330324;CPR Invest Global Gold Mines A2;    884,88;  884,75;2024-05-24
366154;CPR Invest Global Lifestyles A2;   1135,10; 1134,95;2024-05-24
613729;Danske Invest  SICAV - Global Index Restricted;    339,03;  339,03;2024-05-23
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   4167,40; 4167,40;2024-05-27
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    156,80;  156,80;2024-05-24
901181;Danske Invest SICAV - Europe SI;    197,22;  197,22;2024-05-27
252411;Danske Invest SICAV - Global Index SI;   3494,45; 3494,45;2024-05-23
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1261,24; 1261,24;2024-05-27
901603;Danske Invest SICAV - Sverige Ränta SI;   1119,74; 1119,74;2024-05-27
973263;Danske Invest SICAV - Sverige SI;   7149,02; 7149,02;2024-05-27
184580;Delphi Global A2;   2088,82; 2088,82;2024-05-23
388298;Delphi Nordic Acc;  52380,86;52360,08;2024-05-24
291906;Didner & Gerge Aktiefond;   4380,68; 4380,68;2024-05-27
541235;Didner & Gerge Global;    464,67;  464,67;2024-05-24
140491;Didner & Gerge Småbolag;   1321,72; 1321,72;2024-05-27
219170;DNB Europa Indeks S;    131,20;  131,20;2024-05-24
326660;DNB Global Emerging Markets S;    115,92;  115,92;2024-05-24
362491;DNB Global Indeks S;    137,44;  137,44;2024-05-24
147512;DNB Grönt Skifte Norden S;    158,48;  158,48;2024-05-24
255001;DNB Health Care S;    168,06;  168,06;2024-05-24
290833;DNB SMB S;    128,42;  128,42;2024-05-24
183343;DNB Teknologi S;    162,46;  162,46;2024-05-24
623637;East Capital Global Emerging Markets Sustainable A;    247,07;  247,07;2024-05-27
870907;East Capital Global Frontier Markets A;    222,97;  222,97;2024-05-24
134593;Enter Cross Credit A;   1181,80; 1181,80;2024-05-27
643700;Enter Select A;   3584,92; 3584,92;2024-05-27
170423;Enter Sverige A;   4351,46; 4351,46;2024-05-27
664482;Evli Corporate Bond Placeringsfonden B ;   1356,26; 1356,26;2024-05-24
229625;Evli Emerging Markets Credit Placeringsfonden B;   1301,89; 1301,72;2024-05-24
764951;Evli Europa Placeringsfonden B;   2204,62; 2204,34;2024-05-24
570044;Evli Finland Select Placeringsfonden B;    660,72;  660,64;2024-05-24
367987;Evli GEM Placeringsfonden B;   2535,47; 2535,14;2024-05-24
793109;Evli Global Placeringsfonden B;   4171,26; 4171,26;2024-05-24
700310;Evli High Yield Placeringsfonden B;   1736,84; 1736,84;2024-05-24
574582;Evli Likviditet Placeringsfonden B;   1133,55; 1133,55;2024-05-24
668269;Evli Nordic Placeringsfonden B;   4091,49; 4090,97;2024-05-24
621631;Evli Short Corporate Bond Placeringsfonden B;    356,21;  356,16;2024-05-24
610410;Evli Sverige Aktieindex B;   2887,11; 2887,11;2024-05-24
420463;Evli Sverige Småbolag;   8385,75; 8385,75;2024-05-24
850776;Fidelity - America Fund A;    469,22;  469,16;2024-05-27
994095;Fidelity - Asian Pacific Opportunities Fund A;    341,91;  341,87;2024-05-27
