
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;handelsbanken hållbar energi a1;handelsbanken kortränta a1;handelsbanken latinamerika impact tema a1;handelsbanken långränta a1;handelsbanken norden a1;handelsbanken nordiska småbolag a1;handelsbanken pension 40 a12;handelsbanken pension 50 a12;handelsbanken pension 60 a12;handelsbanken pension 70 a12;handelsbanken pension 80 a12;handelsbanken svenska småbolag a1;handelsbanken sverige 100 index criteria a1;handelsbanken sverige a1;handelsbanken tillväxtmarknad tema a1;handelsbanken usa index criteria a1;healthinvest alpha fund;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;-0,060;-0,070;-0,096;-0,114;-0,110;;;;;;0,027;
2022-10-06;0,241;-0,042;-0,036;-0,032;;-0,103;-0,060;-0,069;-0,093;-0,110;-0,106;-0,067;-0,135;;-0,052;-0,121;0,030;
2022-10-07;0,232;-0,042;-0,036;-0,033;;-0,117;-0,062;-0,072;-0,099;-0,118;-0,114;-0,085;-0,149;;-0,054;-0,129;0,026;
2022-10-10;0,230;-0,042;-0,028;-0,033;;-0,114;-0,062;-0,072;-0,099;-0,117;-0,113;-0,085;-0,149;;-0,053;-0,130;0,026;
2022-10-11;0,225;-0,042;-0,030;-0,034;;-0,117;-0,063;-0,074;-0,102;-0,121;-0,117;-0,090;-0,152;;-0,062;-0,134;0,030;
2022-10-12;0,227;-0,042;;-0,034;;-0,117;-0,063;-0,073;-0,100;-0,119;-0,115;-0,093;-0,152;;-0,062;-0,131;0,028;
2022-10-13;0,214;-0,042;-0,039;-0,034;;-0,119;-0,064;-0,075;-0,103;-0,123;-0,119;-0,096;-0,154;;-0,068;-0,139;0,030;
2022-10-14;0,224;-0,042;-0,036;-0,032;;-0,103;-0,060;-0,070;-0,095;-0,113;-0,109;-0,077;-0,140;;-0,063;-0,126;0,030;
2022-10-17;0,220;-0,042;-0,039;-0,032;;-0,097;-0,060;-0,069;-0,093;-0,110;-0,106;-0,070;-0,131;;-0,067;-0,128;0,031;
2022-10-18;0,224;-0,042;-0,037;-0,032;;-0,092;-0,059;-0,068;-0,090;-0,106;-0,102;-0,063;-0,124;;-0,067;-0,124;0,030;
2022-10-19;0,216;-0,042;-0,036;-0,033;;-0,100;-0,060;-0,069;-0,093;-0,110;-0,106;-0,076;-0,131;;-0,070;-0,126;0,029;
2022-10-20;0,213;-0,042;-0,028;-0,034;;-0,102;-0,061;-0,070;-0,095;-0,112;-0,108;-0,081;-0,138;;-0,068;-0,124;0,031;
2022-10-21;0,213;-0,042;-0,023;-0,035;;-0,100;-0,061;-0,070;-0,095;-0,112;-0,108;-0,080;-0,138;;-0,068;-0,123;0,034;
