
# ;[];[];[];[];[];[];[];[];[];[kotak funds - india growth fund][kotak funds - india esg a];[];[kpa blandfond][kpa etisk blandfond 2];[];[];[];[];[];
# ;holberg global a;holberg norden;holberg norge;humle småbolagsfond a;indecap guide 1 c;indecap guide 2 c;indecap guide sverige c;jpmorgan china a;jpmorgan funds - europe sustainable equity fund;kotak funds - india growth fund;kotak funds - india midcap a;kpa blandfond;lannebo europa småbolag a;lannebo mixfond;lannebo mixfond offensiv a;lannebo räntefond kort;lannebo småbolag;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;-0,041;-0,103;-0,143;;;;;;;;;;;
2022-10-06;-0,107;-0,124;-0,144;-0,098;-0,042;-0,102;-0,141;0,074;;;;-0,093;-0,068;-0,066;-0,072;-0,053;-0,164;
2022-10-07;-0,122;-0,132;-0,143;-0,114;-0,042;-0,109;-0,150;0,074;;;;-0,100;-0,074;-0,074;-0,082;-0,053;-0,184;
2022-10-10;-0,121;-0,131;-0,141;-0,117;;;-0,149;0,062;;;;-0,100;-0,073;-0,073;-0,080;-0,053;-0,186;
2022-10-11;-0,123;-0,127;-0,141;-0,115;-0,042;-0,108;-0,148;0,050;;;;-0,103;-0,076;-0,075;-0,083;-0,053;-0,190;
2022-10-12;-0,123;-0,128;-0,145;-0,117;-0,042;-0,109;-0,149;0,056;;;;-0,102;-0,079;-0,074;-0,082;-0,053;-0,191;
2022-10-13;-0,124;-0,128;-0,144;-0,112;-0,041;-0,103;-0,143;0,048;;;;-0,105;-0,075;-0,076;-0,086;-0,053;-0,194;
2022-10-14;-0,126;-0,119;-0,138;-0,104;-0,042;-0,104;-0,140;0,054;;;;-0,096;-0,065;-0,068;-0,075;-0,053;-0,177;
2022-10-17;-0,121;-0,114;-0,135;-0,096;-0,041;-0,098;-0,131;0,057;;;;-0,094;-0,061;-0,065;-0,071;-0,053;-0,168;
2022-10-18;-0,118;-0,110;-0,130;-0,089;-0,041;-0,094;-0,124;0,054;;;;-0,090;-0,059;-0,062;-0,068;-0,053;-0,161;
2022-10-19;-0,122;-0,119;-0,131;-0,102;-0,041;-0,097;-0,129;0,040;;;;-0,094;-0,063;-0,067;-0,073;-0,053;-0,173;
2022-10-20;-0,123;-0,117;-0,128;-0,099;-0,042;-0,100;-0,133;0,038;;;;-0,097;-0,061;-0,071;-0,079;-0,053;-0,174;
2022-10-21;-0,121;-0,117;-0,131;-0,101;-0,041;-0,096;-0,134;0,040;;;;-0,096;-0,059;-0,071;-0,079;-0,053;-0,172;
2022-10-24;-0,123;-0,108;-0,129;-0,092;-0,040;-0,092;-0,126;0,003;;;;-0,090;-0,051;-0,065;-0,071;-0,053;-0,162;
