
# ;[];[];[];[];[];[];[länsförsäkringar global index][länsförsäkringar global indexnära];[];[länsförsäkringar japan index][länsförsäkringar japan indexnära];[];[];[];[];[];[];[];[];
# ;lannebo sverige;lannebo sverige hållbar a;lannebo sverige plus;lannebo teknik;länsförsäkringar asienfond a;länsförsäkringar fastighetsfond a;länsförsäkringar global index;länsförsäkringar global vision a;länsförsäkringar japan index;länsförsäkringar kort räntefond;länsförsäkringar lång räntefond a;länsförsäkringar mix vision a;länsförsäkringar småbolag sverige vision a;länsförsäkringar sparmål 2015;länsförsäkringar sparmål 2020;länsförsäkringar sparmål 2025;länsförsäkringar sparmål 2030;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;;-0,075;-0,077;-0,093;-0,109;
2022-10-06;-0,156;-0,058;-0,141;-0,147;-0,024;-0,110;-0,156;-0,153;-0,088;-0,045;-0,040;-0,109;-0,119;-0,076;-0,078;-0,093;-0,109;
2022-10-07;-0,163;-0,072;-0,148;-0,158;-0,027;-0,134;-0,165;-0,161;-0,089;-0,045;-0,041;-0,114;-0,133;-0,081;-0,082;-0,098;-0,116;
2022-10-10;-0,161;-0,072;-0,145;-0,161;;-0,132;-0,162;-0,158;;-0,045;-0,041;-0,114;-0,133;-0,081;-0,083;-0,099;-0,116;
2022-10-11;-0,162;-0,076;-0,147;-0,169;-0,042;-0,126;-0,165;-0,161;-0,093;-0,045;-0,041;-0,115;-0,132;-0,084;-0,085;-0,102;-0,119;
2022-10-12;-0,162;-0,075;-0,147;-0,166;-0,041;-0,133;-0,168;-0,164;-0,097;-0,045;-0,041;-0,118;-0,135;-0,085;-0,087;-0,103;-0,120;
2022-10-13;-0,160;-0,079;-0,144;-0,175;-0,047;-0,133;-0,158;-0,153;-0,100;-0,045;-0,041;-0,113;-0,131;-0,084;-0,085;-0,102;-0,118;
2022-10-14;-0,148;-0,068;-0,133;-0,161;-0,045;-0,112;-0,168;-0,162;-0,096;-0,045;-0,040;-0,116;-0,124;-0,085;-0,086;-0,102;-0,118;
2022-10-17;-0,142;-0,063;-0,128;-0,162;-0,050;-0,101;-0,161;-0,156;-0,105;-0,045;-0,040;-0,112;-0,116;-0,083;-0,084;-0,101;-0,115;
2022-10-18;-0,137;-0,057;-0,123;-0,158;-0,048;-0,097;-0,160;-0,154;-0,105;-0,045;-0,039;-0,111;-0,110;-0,081;-0,083;-0,098;-0,111;
2022-10-19;-0,139;-0,064;-0,124;-0,161;-0,053;-0,116;-0,161;-0,156;-0,103;-0,045;-0,040;-0,112;-0,124;-0,082;-0,084;-0,099;-0,113;
2022-10-20;-0,147;-0,068;-0,133;-0,155;-0,059;-0,112;-0,163;-0,159;-0,105;-0,045;-0,040;-0,115;-0,120;-0,085;-0,086;-0,102;-0,116;
