
# ;[];[];[];[länsförsäkringar sverige index][länsförsäkringar sverige indexnära];[];[];[länsförsäkringar tillväxtmarknad index a][länsförsäkringar tillväxtmarknad indexnära a];[];[länsförsäkringar usa index][länsförsäkringar usa indexnära];[lärarfond balanserad][lärarfond 45-58 år];[lärarfond försiktig][lärarfond 59+];[lärarfond offensiv][lärarfond 21-44 år];[];[];[];[];[];
# ;länsförsäkringar sparmål 2035;länsförsäkringar sparmål 2040;länsförsäkringar sparmål 2045;länsförsäkringar sverige index;länsförsäkringar sverige vision a;länsförsäkringar tillväxtmarknad aktiv a;länsförsäkringar tillväxtmarknad index a;länsförsäkringar usa aktiv a;länsförsäkringar usa index;lärarfond balanserad;lärarfond försiktig;lärarfond offensiv;mercer passive sustainable global equity ucits ccf;naventi balanserad flex;naventi defensiv flex;naventi offensiv flex;nordea generationsfond 50-tal;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;-0,106;-0,112;-0,112;;;;;;;;;;;;;;;
2022-10-06;-0,106;-0,111;-0,111;-0,144;-0,131;-0,019;-0,039;-0,136;-0,140;-0,097;-0,063;-0,120;;-0,069;-0,065;-0,078;-0,079;
2022-10-07;-0,114;-0,120;-0,119;-0,159;-0,141;-0,024;-0,042;-0,148;-0,150;-0,105;-0,067;-0,132;;-0,074;-0,068;-0,088;-0,084;
2022-10-10;-0,114;-0,120;-0,120;-0,160;-0,141;-0,025;;-0,147;-0,147;-0,105;-0,067;-0,132;;-0,076;-0,069;-0,091;-0,084;
2022-10-11;-0,117;-0,123;-0,122;-0,159;-0,141;-0,036;-0,052;-0,150;-0,149;-0,107;-0,068;-0,134;;-0,081;-0,072;-0,099;-0,085;
2022-10-12;-0,118;-0,124;-0,124;-0,161;-0,142;-0,033;-0,052;-0,152;-0,151;-0,108;-0,068;-0,136;;-0,080;-0,072;-0,097;-0,085;
2022-10-13;-0,116;-0,122;-0,121;-0,157;-0,137;-0,037;-0,055;-0,141;-0,138;-0,104;-0,067;-0,130;;-0,085;-0,074;-0,105;-0,087;
2022-10-14;-0,114;-0,120;-0,120;-0,152;-0,133;-0,035;-0,054;-0,158;-0,152;-0,104;-0,066;-0,131;;-0,077;-0,071;-0,092;-0,080;
2022-10-17;-0,111;-0,117;-0,116;-0,142;-0,125;-0,040;-0,059;-0,148;-0,144;-0,099;-0,063;-0,123;;-0,079;-0,071;-0,094;-0,080;
2022-10-18;-0,107;-0,112;-0,112;-0,133;-0,120;-0,037;-0,056;-0,147;-0,142;-0,095;-0,062;-0,118;;-0,076;-0,069;-0,089;-0,079;
2022-10-19;-0,109;-0,115;-0,114;-0,142;-0,126;-0,041;-0,059;-0,146;-0,143;-0,100;-0,064;-0,125;;-0,079;-0,072;-0,093;-0,080;
