
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;nordea generationsfond 60-tal;nordea generationsfond 70-tal;nordea generationsfond 80-tal;nordea generationsfond 90-tal;nordea generationsfond senior;nordea global;nordea indienfond;nordea kinafond;nordea obligationsfond;nordea realräntefond;nordea småbolagsfond norden;nordea stratega ränta;nordea swedish bond stars;nordea swedish stars;odin emerging markets c;odin fastighet c;odin global c;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;;;;;;
2022-10-06;-0,127;-0,146;-0,146;-0,145;-0,072;-0,137;-0,094;-0,030;-0,031;-0,027;-0,152;-0,048;-0,046;-0,129;-0,064;-0,081;-0,088;
2022-10-07;-0,134;-0,153;-0,153;-0,152;-0,075;-0,144;-0,092;-0,035;-0,033;-0,028;-0,160;-0,050;-0,046;-0,137;-0,068;-0,106;-0,100;
2022-10-10;-0,134;-0,152;-0,152;-0,151;-0,076;-0,143;-0,088;-0,048;-0,033;-0,025;-0,161;-0,050;-0,046;-0,135;-0,067;-0,106;-0,100;
2022-10-11;-0,138;-0,157;-0,157;-0,156;-0,077;-0,146;-0,094;-0,059;-0,034;-0,025;-0,163;-0,051;-0,046;-0,138;-0,071;-0,100;-0,104;
2022-10-12;-0,137;-0,156;-0,156;-0,155;-0,076;-0,146;-0,092;-0,060;-0,035;-0,024;-0,164;-0,052;-0,047;-0,138;-0,069;-0,102;-0,105;
2022-10-13;-0,141;-0,161;-0,161;-0,160;-0,077;-0,151;-0,095;-0,071;-0,034;-0,021;-0,165;-0,053;-0,046;-0,139;-0,072;-0,106;-0,115;
2022-10-14;-0,129;-0,148;-0,148;-0,147;-0,073;-0,136;-0,092;-0,061;-0,032;-0,020;-0,151;-0,051;-0,045;-0,126;-0,067;-0,082;-0,102;
2022-10-17;-0,131;-0,150;-0,150;-0,149;-0,073;-0,140;-0,090;-0,063;-0,032;-0,020;-0,147;-0,051;-0,045;-0,120;-0,071;-0,072;-0,098;
2022-10-18;-0,127;-0,146;-0,146;-0,145;-0,072;-0,139;-0,092;-0,061;-0,032;-0,020;-0,142;-0,051;-0,045;-0,115;-0,073;-0,067;-0,095;
2022-10-19;-0,130;-0,149;-0,149;-0,148;-0,073;-0,138;-0,092;-0,072;-0,034;-0,023;-0,145;-0,052;-0,046;-0,117;-0,076;-0,087;-0,102;
2022-10-20;-0,130;-0,149;-0,149;-0,148;-0,074;-0,136;-0,091;-0,080;-0,035;-0,024;-0,148;-0,052;-0,046;-0,123;-0,075;-0,083;-0,099;
2022-10-21;-0,130;-0,149;-0,149;-0,148;-0,074;-0,134;-0,086;-0,077;-0,036;-0,024;-0,147;-0,054;-0,046;-0,122;-0,076;-0,094;-0,104;
