
# ;[];[];[];[];[];[];[];[];[];[pictet clean energy transition r][pictet clean energy r];[];[];[];[];[];[];[];
# ;odin norden c;odin sverige c;pareto aksje norge b;pareto esg global corporate bond a;pareto global b;pareto nordic corporate bond c;pictet asian equities ex japan r;pictet biotech r;pictet china equities r;pictet clean energy transition r;pictet digital r;pictet emerging markets r;pictet eur bonds r;pictet global bonds r;pictet global emerging debt r;pictet global megatrend selection r;pictet health r;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;0,019;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;-0,100;-0,068;-0,106;-0,081;;;;;;;-0,028;0,022;-0,033;;;
2022-10-06;-0,094;-0,089;-0,094;-0,068;-0,106;-0,082;-0,015;0,043;;-0,016;-0,177;-0,020;-0,029;0,022;-0,033;-0,038;-0,001;
2022-10-07;-0,111;-0,106;-0,095;-0,068;-0,115;-0,082;-0,017;0,041;;-0,027;-0,183;-0,021;-0,029;0,027;-0,028;-0,043;-0,001;
2022-10-10;-0,112;-0,108;-0,088;-0,069;-0,112;-0,082;-0,019;0,036;0,017;-0,034;-0,184;-0,023;-0,029;;;-0,043;0,000;
2022-10-11;-0,112;-0,109;-0,090;-0,071;-0,113;-0,082;-0,030;0,030;0,003;-0,044;-0,201;-0,034;-0,028;0,030;-0,026;-0,051;-0,004;
2022-10-12;-0,111;-0,112;-0,094;-0,072;-0,115;-0,083;-0,024;0,033;0,011;-0,044;-0,195;-0,029;-0,029;0,031;-0,028;-0,047;0,002;
2022-10-13;-0,117;-0,117;-0,089;-0,073;-0,106;-0,082;-0,033;0,031;-0,001;-0,061;-0,205;-0,036;-0,029;0,030;-0,030;-0,056;-0,007;
2022-10-14;-0,102;-0,099;-0,087;-0,072;-0,112;-0,082;-0,028;0,043;0,004;-0,047;-0,196;-0,030;-0,031;0,025;-0,034;-0,044;0,006;
2022-10-17;-0,095;-0,092;-0,083;-0,071;-0,106;-0,082;-0,025;0,042;0,007;-0,046;-0,193;-0,028;-0,030;0,027;-0,033;-0,042;0,008;
2022-10-18;-0,090;-0,084;-0,080;-0,069;-0,105;-0,082;-0,029;0,044;0,003;-0,043;-0,189;-0,031;-0,032;0,021;-0,039;-0,040;0,008;
2022-10-19;-0,099;-0,098;-0,080;-0,069;-0,107;-0,082;-0,040;0,029;-0,014;-0,054;-0,198;-0,042;-0,034;0,018;-0,041;-0,049;-0,003;
2022-10-20;-0,099;-0,097;-0,077;-0,070;-0,107;-0,082;-0,035;0,026;-0,011;-0,049;-0,192;-0,037;-0,034;0,021;-0,040;-0,046;0,000;
2022-10-21;-0,103;-0,099;-0,076;-0,071;-0,099;-0,083;-0,036;0,031;-0,015;-0,047;-0,196;-0,037;-0,032;0,021;-0,041;-0,047;0,002;
