
# ;[];[];[];[];[];[];[];[];[];[];[];[];[seb aktiespar][seb aktiesparfond];[];[];[seb choice emerging markets][seb emerg market][seb emerging mark][seb emerging markets][seb emerging markets fund][seb emerging marketsfond];[];
# ;pictet indian equities r;pictet japanese equity opportunities r;pictet premium brands r;pictet security r;pictet timber r;pictet water r;pictet-emerging corporate bonds r ;prior & nilsson realinvest a;prior & nilsson sverige aktiv a;s-banken emerging markets esg aktie a;s-banken fenno aktie a;s-banken usa aktie a;seb aktiespar;seb asienfond ex japan;seb asset selection fund c;seb choice emerging markets;seb dynamic bond fund c;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;-0,022;;;;;;;;;-0,075;;
2022-10-06;-0,083;-0,086;-0,041;-0,049;0,022;-0,032;-0,021;-0,037;-0,149;-0,023;-0,047;-0,127;-0,133;-0,066;0,136;-0,070;-0,077;
2022-10-07;-0,085;-0,085;-0,048;-0,056;0,021;-0,039;-0,014;-0,053;-0,159;-0,025;-0,052;-0,134;-0,142;-0,069;0,141;-0,072;-0,078;
2022-10-10;-0,076;;-0,049;-0,057;0,030;-0,040;;-0,052;-0,159;-0,025;-0,052;-0,131;-0,144;-0,070;0,143;-0,071;-0,078;
2022-10-11;-0,082;-0,089;-0,054;-0,067;0,029;-0,045;-0,010;-0,052;-0,158;-0,032;-0,050;-0,136;-0,152;-0,080;0,145;-0,081;-0,079;
2022-10-12;-0,078;-0,089;-0,047;-0,065;0,031;-0,042;-0,010;-0,057;-0,159;-0,032;-0,051;-0,135;-0,149;-0,079;0,145;-0,081;-0,079;
2022-10-13;-0,083;-0,096;-0,058;-0,075;0,025;-0,054;-0,012;-0,056;-0,156;-0,036;-0,047;-0,124;-0,156;-0,084;0,146;-0,083;-0,079;
2022-10-14;-0,080;-0,091;-0,041;-0,062;0,035;-0,039;-0,017;-0,046;-0,153;-0,034;-0,043;-0,135;-0,141;-0,079;0,143;-0,082;-0,079;
2022-10-17;-0,076;-0,093;-0,042;-0,059;0,038;-0,038;-0,018;-0,036;-0,144;-0,034;-0,035;-0,125;-0,142;-0,085;0,142;-0,085;-0,079;
2022-10-18;-0,082;-0,099;-0,038;-0,056;0,038;-0,035;-0,025;-0,032;-0,136;-0,030;-0,034;-0,124;-0,139;-0,084;0,140;-0,082;-0,078;
2022-10-19;-0,088;-0,103;-0,045;-0,064;0,028;-0,040;-0,026;-0,043;-0,140;-0,034;-0,038;-0,125;-0,142;-0,086;0,143;-0,085;-0,080;
2022-10-20;-0,079;-0,099;-0,043;-0,061;0,029;-0,042;-0,025;-0,045;-0,142;-0,037;-0,041;-0,130;-0,140;-0,086;0,144;-0,086;-0,081;
