
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;-0,078;-0,045;;;;-0,094;;;;-0,314;;;;
2022-10-06;-0,112;-0,092;;-0,119;-0,078;-0,046;-0,015;-0,038;-0,151;-0,095;-0,008;-0,134;-0,134;-0,316;-0,027;-0,062;0,028;
2022-10-07;-0,119;-0,107;;-0,126;-0,080;-0,047;-0,020;-0,046;-0,161;-0,100;-0,010;-0,149;-0,149;-0,314;-0,028;-0,063;0,029;
2022-10-10;-0,116;-0,107;;-0,123;;-0,048;-0,022;-0,045;-0,158;-0,099;-0,008;-0,151;-0,152;-0,315;-0,028;-0,067;0,030;
2022-10-11;-0,120;-0,113;;-0,126;-0,084;-0,047;-0,025;-0,049;-0,162;-0,101;-0,008;-0,155;-0,156;-0,313;-0,030;-0,067;0,031;
2022-10-12;-0,119;-0,112;;-0,124;-0,084;-0,047;-0,020;-0,049;-0,159;-0,102;-0,008;-0,154;-0,156;-0,311;-0,031;-0,066;0,037;
2022-10-13;-0,124;-0,115;;-0,130;-0,086;-0,048;-0,027;-0,057;-0,161;-0,098;-0,005;-0,159;-0,160;-0,313;-0,028;-0,065;0,033;
2022-10-14;-0,111;-0,099;;-0,116;-0,085;-0,049;-0,012;-0,040;-0,149;-0,101;-0,003;-0,143;-0,144;-0,304;-0,028;-0,060;0,040;
2022-10-17;-0,115;-0,096;;-0,120;-0,083;-0,048;-0,017;-0,048;-0,142;-0,098;-0,004;-0,134;-0,135;-0,299;-0,029;-0,063;0,038;
2022-10-18;-0,113;-0,091;;-0,118;-0,081;-0,048;-0,015;-0,044;-0,137;-0,096;-0,004;-0,129;-0,129;-0,295;-0,034;-0,060;0,037;
2022-10-19;-0,115;-0,100;;-0,119;-0,083;-0,050;-0,019;-0,047;-0,142;-0,098;-0,006;-0,137;-0,138;-0,301;-0,034;-0,057;0,036;
2022-10-20;-0,114;-0,097;;-0,119;-0,084;-0,050;-0,022;-0,048;-0,147;-0,100;-0,007;-0,142;-0,141;-0,293;-0,034;-0,058;0,033;
