
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;;;;;;
2022-10-06;-0,085;-0,073;-0,081;-0,047;-0,083;-0,106;-0,077;-0,005;-0,134;-0,093;-0,163;-0,070;-0,129;-0,102;-0,040;-0,125;-0,043;
2022-10-07;-0,089;-0,073;-0,081;-0,047;-0,093;-0,121;-0,083;-0,016;-0,140;-0,099;-0,169;-0,074;-0,137;-0,103;-0,040;-0,134;-0,044;
2022-10-10;-0,091;-0,073;-0,082;-0,047;-0,091;-0,119;-0,082;-0,016;-0,139;-0,098;-0,167;-0,073;-0,137;;-0,040;-0,134;-0,044;
2022-10-11;-0,091;-0,074;-0,083;-0,047;-0,091;-0,119;-0,087;-0,013;-0,140;-0,101;-0,171;-0,075;-0,141;-0,107;-0,040;-0,139;-0,045;
2022-10-12;-0,091;-0,074;-0,084;-0,047;-0,093;-0,118;-0,088;-0,017;-0,140;-0,101;-0,171;-0,075;-0,139;-0,111;-0,040;-0,136;-0,045;
2022-10-13;;-0,074;-0,085;-0,047;-0,090;-0,112;-0,091;-0,018;-0,139;-0,103;-0,174;-0,076;-0,146;-0,114;-0,040;-0,144;-0,044;
2022-10-14;-0,086;-0,075;-0,085;-0,047;-0,087;-0,119;-0,086;-0,016;-0,134;-0,095;-0,162;-0,071;-0,132;-0,108;-0,040;-0,129;-0,043;
2022-10-17;-0,081;-0,075;-0,085;-0,047;-0,089;-0,113;-0,089;-0,010;-0,134;-0,094;-0,159;-0,071;-0,136;-0,119;-0,040;-0,133;-0,043;
2022-10-18;-0,079;-0,075;-0,085;-0,047;-0,085;-0,110;-0,091;-0,010;-0,132;-0,092;-0,157;-0,070;-0,133;-0,120;-0,040;-0,129;-0,043;
2022-10-19;-0,081;-0,075;-0,085;-0,047;-0,090;-0,114;-0,096;-0,022;-0,138;-0,094;-0,161;-0,071;-0,134;-0,116;-0,040;-0,131;-0,044;
2022-10-20;-0,081;-0,076;-0,086;-0,047;-0,089;-0,116;-0,094;-0,019;-0,137;-0,095;-0,160;-0,072;-0,133;-0,118;-0,040;-0,130;-0,044;
2022-10-21;-0,080;-0,076;-0,087;-0,047;-0,086;-0,106;-0,091;-0,018;-0,135;-0,095;-0,158;-0,073;-0,132;-0,123;-0,040;-0,128;-0,045;
2022-10-24;-0,076;-0,076;-0,087;-0,047;-0,085;-0,102;-0,104;-0,020;-0,134;;;;;;;;;
