
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;skandia realräntefond;skandia småbolag sverige;skandia sverige exponering a;skandia time global;skandia usa;skandia världen;spiltan aktiefond småland;spiltan globalfond investmentbolag;spiltan högräntefond;spiltan räntefond sverige;spiltan småbolagsfond;spp generation 40-tal;spp generation 50-tal;spp generation 60-tal;spp generation 70-tal;spp generation 80-tal;storebrand emerging markets a;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;;;;;;
2022-10-06;-0,030;-0,133;-0,137;-0,196;-0,030;-0,054;-0,102;-0,169;-0,061;-0,059;-0,165;-0,062;-0,071;-0,107;-0,124;-0,122;-0,081;
2022-10-07;-0,032;-0,149;-0,151;-0,203;-0,039;-0,060;-0,117;-0,175;-0,061;-0,060;-0,185;-0,065;-0,075;-0,113;-0,131;-0,130;-0,085;
2022-10-10;-0,029;-0,151;-0,151;-0,203;-0,039;-0,060;-0,119;-0,175;-0,061;-0,060;-0,189;-0,065;-0,074;-0,111;-0,129;-0,128;-0,084;
2022-10-11;-0,029;-0,155;-0,155;-0,212;-0,044;-0,065;-0,118;-0,176;-0,063;-0,060;-0,190;-0,066;-0,075;-0,114;-0,132;-0,131;-0,094;
2022-10-12;-0,028;-0,156;-0,155;-0,210;-0,042;-0,063;-0,122;-0,180;-0,063;-0,060;-0,196;-0,066;-0,076;-0,115;-0,133;-0,132;-0,094;
2022-10-13;-0,025;-0,157;-0,156;-0,216;-0,050;-0,071;-0,119;-0,176;-0,063;-0,060;-0,191;-0,064;-0,072;-0,109;-0,126;-0,125;-0,098;
2022-10-14;-0,023;-0,142;-0,142;-0,202;-0,034;-0,058;-0,114;-0,179;-0,062;-0,060;-0,186;-0,064;-0,074;-0,112;-0,131;-0,129;-0,097;
2022-10-17;-0,024;-0,135;-0,134;-0,203;-0,039;-0,062;-0,104;-0,176;-0,062;-0,060;-0,182;-0,062;-0,071;-0,108;-0,125;-0,123;-0,099;
2022-10-18;-0,024;-0,128;-0,128;-0,200;-0,035;-0,060;-0,097;-0,172;-0,062;-0,060;-0,172;-0,062;-0,070;-0,105;-0,122;-0,120;-0,096;
2022-10-19;-0,026;-0,138;-0,135;-0,203;-0,037;-0,062;-0,111;-0,173;-0,064;-0,061;-0,187;-0,063;-0,071;-0,107;-0,123;-0,122;-0,100;
2022-10-20;-0,026;-0,141;-0,142;-0,202;-0,037;-0,062;-0,109;-0,175;-0,065;-0,061;-0,181;-0,064;-0,073;-0,109;-0,126;-0,125;-0,100;
2022-10-21;-0,027;-0,140;-0,141;-0,203;-0,037;-0,062;-0,113;-0,174;-0,065;-0,061;-0,183;-0,063;-0,071;-0,104;-0,120;-0,118;-0,095;
