
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;storebrand emerging markets plus a;storebrand europa a;storebrand frn företagsobligation a;storebrand global all countries a;storebrand global företagsobligation a;storebrand global indeks a4;storebrand global low volatility a;storebrand global multifactor a;storebrand global plus a;storebrand global solutions a;storebrand grön obligation a;storebrand japan a;storebrand kortränta a;storebrand obligation a;storebrand sverige a;storebrand sverige plus a;storebrand usa a;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;;;;;;
2022-10-06;-0,073;-0,178;-0,064;-0,101;-0,049;;-0,082;-0,081;-0,095;-0,066;-0,058;-0,098;-0,040;-0,041;-0,144;-0,137;-0,122;
2022-10-07;-0,076;-0,183;-0,064;-0,108;-0,051;;-0,085;-0,086;-0,103;-0,075;-0,059;-0,099;-0,040;-0,043;-0,156;-0,149;-0,131;
2022-10-10;-0,075;-0,181;-0,064;-0,105;-0,051;;-0,080;-0,082;-0,100;-0,076;-0,059;;-0,040;-0,043;-0,156;-0,150;-0,128;
2022-10-11;-0,084;-0,183;-0,064;-0,109;-0,052;;-0,080;-0,083;-0,103;-0,078;-0,059;-0,103;-0,040;-0,044;-0,157;-0,150;-0,130;
2022-10-12;-0,083;-0,187;-0,064;-0,111;-0,054;;-0,083;-0,087;-0,106;-0,083;-0,059;-0,107;-0,040;-0,044;-0,158;-0,152;-0,132;
2022-10-13;-0,087;-0,181;-0,064;-0,102;-0,054;;-0,074;-0,077;-0,097;-0,077;-0,059;-0,110;-0,040;-0,043;-0,153;-0,147;-0,119;
2022-10-14;-0,086;-0,180;-0,064;-0,111;-0,055;;-0,081;-0,086;-0,105;-0,084;-0,058;-0,106;-0,040;-0,042;-0,149;-0,143;-0,133;
2022-10-17;-0,088;-0,173;-0,064;-0,105;-0,054;;-0,079;-0,083;-0,099;-0,079;-0,058;-0,115;-0,040;-0,041;-0,139;-0,133;-0,125;
2022-10-18;-0,085;-0,173;-0,064;-0,104;-0,054;;-0,079;-0,081;-0,097;-0,074;-0,058;-0,115;-0,040;-0,041;-0,133;-0,126;-0,123;
2022-10-19;-0,088;-0,174;-0,065;-0,105;-0,056;;-0,078;-0,083;-0,098;-0,078;-0,059;-0,113;-0,040;-0,043;-0,141;-0,135;-0,124;
2022-10-20;-0,090;-0,172;-0,066;-0,107;-0,057;;-0,081;-0,085;-0,101;-0,080;-0,060;-0,115;-0,040;-0,043;-0,145;-0,138;-0,128;
2022-10-21;-0,085;-0,173;-0,066;-0,097;-0,057;;-0,071;-0,075;-0,091;-0,072;-0,060;-0,115;-0,040;-0,044;-0,147;-0,140;-0,114;
2022-10-24;-0,098;-0,167;-0,067;-0,097;-0,056;;-0,069;-0,073;-0,088;-0,073;-0,060;-0,113;-0,040;-0,043;-0,138;-0,131;-0,112;
