
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[swedbank robur small cap europe a][swedbank robur småbolagsfond europa a];[];[];[];
# ;swedbank robur access asien a;swedbank robur access europa a;swedbank robur access global a;swedbank robur access sverige a;swedbank robur access usa a;swedbank robur aktiefond pension;swedbank robur europafond a;swedbank robur fastighet a;swedbank robur healthcare a;swedbank robur mixfond pension;swedbank robur nordenfond;swedbank robur obligation a;swedbank robur räntefond kort a;swedbank robur small cap europe a;swedbank robur småbolagsfond sverige a;swedbank robur technology a;swedbank robur transfer 50;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;;;;;;
2022-10-06;-0,063;-0,173;-0,134;-0,135;-0,129;-0,165;;-0,050;0,014;-0,089;-0,148;-0,043;-0,038;-0,017;-0,111;-0,227;-0,068;
2022-10-07;-0,067;-0,179;-0,142;-0,148;-0,139;-0,174;;-0,065;0,010;-0,094;-0,159;-0,044;-0,038;-0,026;-0,126;-0,240;-0,071;
2022-10-10;-0,069;-0,176;-0,141;-0,148;-0,138;-0,173;;-0,064;0,011;-0,093;-0,156;-0,044;-0,038;-0,026;-0,128;-0,248;-0,070;
2022-10-11;-0,079;-0,181;-0,147;-0,152;-0,143;-0,178;;-0,072;0,009;-0,095;-0,159;-0,044;-0,038;-0,034;-0,131;-0,260;-0,072;
2022-10-12;-0,078;-0,181;-0,145;-0,151;-0,140;-0,177;;-0,072;0,014;-0,095;-0,158;-0,044;-0,038;-0,036;-0,132;-0,259;-0,072;
2022-10-13;-0,083;-0,184;-0,151;-0,155;-0,148;-0,183;;-0,079;0,007;-0,097;-0,161;-0,044;-0,038;-0,036;-0,137;-0,272;-0,072;
2022-10-14;-0,079;-0,173;-0,139;-0,140;-0,135;-0,171;;-0,061;0,019;-0,091;-0,149;-0,043;-0,038;-0,024;-0,119;-0,260;-0,069;
2022-10-17;-0,085;-0,169;-0,142;-0,131;-0,138;-0,170;;-0,062;0,017;-0,091;-0,142;-0,042;-0,038;-0,019;-0,112;-0,260;-0,069;
2022-10-18;-0,081;-0,167;-0,138;-0,125;-0,133;-0,166;;-0,057;0,018;-0,090;-0,136;-0,042;-0,038;-0,016;-0,105;-0,258;-0,068;
2022-10-19;-0,086;-0,172;-0,140;-0,132;-0,136;-0,169;;-0,066;0,011;-0,091;-0,140;-0,043;-0,038;-0,025;-0,116;-0,261;-0,069;
2022-10-20;-0,088;-0,171;-0,139;-0,139;-0,135;-0,170;;-0,069;0,009;-0,092;-0,145;-0,044;-0,038;-0,024;-0,119;-0,253;-0,069;
2022-10-21;-0,088;-0,169;-0,138;-0,139;-0,132;-0,169;;-0,073;0,014;-0,092;-0,143;-0,044;-0,037;-0,023;-0,119;-0,252;-0,070;
