
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;swedbank robur transfer 60;swedbank robur transfer 70;swedbank robur transfer 80;swedbank robur transfer 90;templeton emerging markets fund a;templeton global bond fund a;tundra sustainable frontier fund a;ub infra placeringsfond a;ålandsbanken euro bond s placeringsfond;ålandsbanken euro high yield b placeringsfond;ålandsbanken global aktie b placeringsfond;ålandsbanken kapitalförvaltning placeringsfond;öhman emerging markets a;öhman frn a;öhman företagsobligationsfond a;öhman global a;öhman global growth a;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;-0,090;0,008;;;-0,060;-0,086;-0,090;-0,084;;;;;;
2022-10-06;-0,104;-0,141;-0,150;-0,147;-0,091;0,007;-0,025;-0,083;-0,060;-0,086;-0,091;-0,084;-0,056;-0,059;-0,055;-0,110;-0,122;
2022-10-07;-0,109;-0,149;-0,158;-0,155;-0,092;0,005;-0,024;-0,085;-0,061;-0,084;-0,096;-0,089;-0,061;-0,059;-0,055;-0,117;-0,131;
2022-10-10;-0,108;-0,148;-0,157;-0,154;-0,093;0,004;-0,017;-0,090;-0,062;-0,083;-0,095;-0,089;-0,060;-0,059;-0,056;-0,114;-0,130;
2022-10-11;-0,112;-0,153;-0,163;-0,159;-0,097;0,003;-0,020;-0,091;-0,062;-0,084;-0,099;-0,090;-0,071;-0,059;-0,057;-0,117;-0,137;
2022-10-12;-0,111;-0,151;-0,161;-0,159;-0,096;0,002;-0,018;-0,092;-0,062;-0,083;-0,099;-0,090;-0,072;-0,059;-0,057;-0,119;-0,137;
2022-10-13;-0,114;-0,157;-0,167;-0,164;-0,091;0,002;-0,017;-0,098;-0,063;-0,084;-0,097;-0,087;-0,076;-0,059;-0,057;-0,110;-0,130;
2022-10-14;-0,107;-0,146;-0,156;-0,153;-0,101;-0,002;-0,020;-0,088;-0,063;-0,084;-0,102;-0,088;-0,075;-0,059;-0,057;-0,117;-0,136;
2022-10-17;-0,107;-0,147;-0,157;-0,154;-0,089;-0,002;-0,023;-0,089;-0,063;-0,083;-0,097;-0,083;-0,077;-0,059;-0,056;-0,110;-0,130;
2022-10-18;-0,105;-0,143;-0,153;-0,149;-0,095;-0,002;-0,024;-0,085;-0,062;-0,086;-0,096;-0,082;-0,074;-0,059;-0,056;-0,109;-0,128;
2022-10-19;-0,107;-0,146;-0,156;-0,153;-0,102;-0,005;-0,021;-0,083;-0,063;-0,086;-0,098;-0,084;-0,079;-0,060;-0,058;-0,111;-0,130;
2022-10-20;-0,108;-0,146;-0,156;-0,153;-0,097;-0,005;-0,019;-0,085;-0,064;-0,086;-0,101;-0,084;-0,082;-0,060;-0,059;-0,113;-0,133;
