
# ;[];[];[];[];[];[];[];[];[];
# ;öhman kort ränta a;öhman marknad pacific a;öhman marknad sverige bred a;öhman marknad usa a;öhman obligationsfond a;öhman realräntefond a;öhman småbolagsfond a;öhman sverige a;öhman sweden micro cap;
2022-02-25;;;;;;;;;;
2022-02-28;;;;;;;;;;
2022-03-01;;;;;;;;;;
2022-05-31;;;;;;;;;;
2022-06-07;;;;;;;;;;
2022-06-08;;;;;;;;;;
2022-06-16;;;;;;;;;;
2022-06-28;;;;;;;;;;
2022-08-22;;;;;;;;;;
2022-08-30;;;;;;;;;;
2022-09-30;;;;;;;;;;
2022-10-03;;;;;;;;;;
2022-10-04;;;;;;;;;;
2022-10-05;;;;;;;;;;
2022-10-06;-0,035;-0,066;;-0,130;-0,041;-0,027;-0,122;-0,130;-0,141;
2022-10-07;-0,035;-0,067;;-0,141;-0,042;-0,028;-0,136;-0,148;-0,155;
2022-10-10;-0,035;-0,074;;-0,139;-0,042;-0,026;-0,138;-0,151;-0,156;
2022-10-11;-0,035;-0,075;;-0,142;-0,043;-0,026;-0,137;-0,151;-0,156;
2022-10-12;-0,035;-0,077;;-0,144;-0,043;-0,026;-0,141;-0,154;-0,160;
2022-10-13;-0,035;-0,081;;-0,131;-0,042;-0,022;-0,136;-0,150;-0,156;
2022-10-14;-0,035;-0,078;;-0,145;-0,042;-0,022;-0,130;-0,145;-0,151;
2022-10-17;-0,035;-0,084;;-0,136;-0,041;-0,022;-0,123;-0,135;-0,142;
2022-10-18;-0,035;-0,079;;-0,135;-0,041;-0,022;-0,115;-0,126;-0,134;
2022-10-19;-0,035;-0,076;;-0,135;-0,042;-0,025;-0,127;-0,138;-0,147;
2022-10-20;-0,035;-0,078;;-0,140;-0,042;-0,025;-0,125;-0,139;-0,146;
2022-10-21;-0,035;-0,081;;-0,125;-0,043;-0,025;-0,125;-0,141;-0,146;
2022-10-24;-0,034;-0,086;;-0,124;-0,041;-0,023;-0,119;-0,130;-0,139;
2022-10-25;-0,034;-0,089;;-0,124;-0,041;-0,023;-0,113;-0,118;-0,132;
2022-10-26;-0,034;-0,085;;-0,132;-0,041;-0,023;-0,112;-0,114;-0,131;
2022-10-27;-0,034;-0,083;;-0,134;-0,039;-0,021;-0,112;-0,115;-0,130;
2022-10-28;-0,034;-0,087;;-0,121;-0,040;-0,021;-0,113;-0,115;-0,131;
2022-10-31;-0,034;-0,080;;-0,121;-0,040;-0,022;-0,112;-0,118;-0,131;
2022-11-01;-0,034;-0,073;;-0,124;-0,040;-0,022;-0,107;-0,115;-0,127;
2022-11-02;-0,034;-0,071;;-0,136;-0,040;-0,023;-0,108;-0,116;-0,129;
2022-11-03;;;;;;;;;;
2022-11-04;-0,034;-0,075;;-0,139;-0,040;-0,023;-0,109;-0,116;-0,129;
2022-11-07;-0,034;-0,072;;-0,139;-0,039;-0,023;-0,102;-0,111;-0,122;
2022-11-08;-0,034;-0,072;;-0,141;-0,039;-0,024;-0,096;-0,103;-0,116;
2022-11-09;-0,034;-0,071;;-0,147;-0,039;-0,023;-0,098;-0,105;-0,118;
2022-11-10;-0,034;-0,074;;-0,129;-0,036;-0,018;-0,079;-0,081;-0,100;
2022-11-11;-0,034;-0,063;;-0,134;-0,037;-0,020;-0,072;-0,074;-0,093;
2022-11-14;-0,034;-0,059;;-0,135;-0,036;-0,019;-0,073;-0,077;-0,095;
