
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;blackrock - global high yield bond fund a2;blackrock - india a2;blackrock - japan small & midcap a2;blackrock - latin american a2;blackrock - natural resources growth & income fund a2;blackrock - sustainable energy a2;blackrock - us basic value a2;blackrock - us flexible equity a2;blackrock - us mid-cap value fund a2;blackrock - world energy a2;blackrock - world financials a2;blackrock - world gold a2;blackrock - world healthscience a2;blackrock - world mining a2;blackrock - world real estate securities fund a2;blackrock - world technology a2;bmc global select fund;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;;;;;;
2022-10-06;-0,041;-0,028;-0,078;0,021;;0,027;-0,048;-0,062;-0,023;0,023;-0,208;-0,236;-0,002;0,008;-0,008;-0,148;;
2022-10-07;-0,034;-0,024;-0,073;0,023;;0,022;-0,050;-0,066;-0,025;0,033;-0,210;-0,237;-0,002;0,006;-0,011;-0,159;;
2022-10-10;-0,029;-0,019;-0,075;0,030;;0,021;-0,046;-0,064;-0,021;0,034;-0,203;-0,239;-0,001;0,009;-0,008;-0,165;;
2022-10-11;-0,032;-0,025;-0,074;0,023;;0,013;-0,050;-0,070;-0,026;0,021;-0,212;-0,247;-0,003;0,002;-0,016;-0,177;;
2022-10-12;-0,032;-0,021;-0,076;0,020;;0,016;-0,048;-0,065;-0,025;0,020;-0,211;-0,244;0,004;0,001;-0,012;-0,175;;
2022-10-13;-0,033;-0,023;-0,081;0,016;;0,005;-0,052;-0,074;-0,029;0,027;-0,209;-0,264;-0,004;-0,004;-0,018;-0,188;;
2022-10-14;-0,036;-0,024;-0,079;0,019;;0,018;-0,040;-0,059;-0,018;0,032;-0,194;-0,262;0,008;0,000;-0,007;-0,172;;
2022-10-17;-0,034;-0,021;-0,085;0,018;;0,020;-0,040;-0,061;-0,019;0,030;-0,193;-0,258;0,009;0,003;-0,006;-0,171;;
2022-10-18;-0,039;-0,024;-0,086;0,018;;0,023;-0,041;-0,060;-0,019;0,023;-0,192;-0,262;0,007;0,000;-0,005;-0,169;;
2022-10-19;-0,039;-0,027;-0,086;0,016;;0,013;-0,045;-0,066;-0,025;0,026;-0,199;-0,272;0,000;-0,008;-0,015;-0,177;;
2022-10-20;-0,036;-0,022;-0,086;0,026;;0,016;-0,042;-0,061;-0,022;0,041;-0,196;-0,268;0,001;-0,002;-0,012;-0,169;;
2022-10-21;-0,037;-0,018;-0,092;0,033;;0,018;-0,040;-0,059;-0,022;0,044;-0,194;-0,256;0,006;0,008;-0,015;-0,169;;
2022-10-24;-0,035;-0,015;-0,085;0,031;;0,029;-0,031;-0,050;-0,014;0,053;-0,186;-0,253;0,017;0,015;-0,009;-0,163;;
