
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;c worldwide asia 1a;c worldwide global equities 1a;c worldwide global equities ethical 1a;c worldwide healthcare select 1a;c worldwide sweden 1a;c worldwide sweden small cap 1a;captor dahlia green bond a;captor iris bond a;carnegie fastighetsfond norden a;carnegie indienfond a;carnegie likviditetsfond a;carnegie listed private equity a;carnegie obligationsfond a;carnegie småbolagsfond a;carnegie strategifond a;carnegie sverigefond a;cb save earth fund rc;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;;;;;-0,032;
2022-10-06;-0,055;-0,077;-0,075;0,023;-0,146;-0,160;-0,056;-0,053;-0,116;-0,020;-0,042;-0,169;-0,032;-0,241;-0,144;-0,168;-0,036;
2022-10-07;-0,057;-0,079;-0,079;0,019;-0,160;-0,177;-0,058;-0,058;-0,145;-0,017;-0,042;-0,177;-0,034;-0,251;-0,151;-0,178;-0,044;
2022-10-10;-0,058;-0,078;-0,080;0,014;-0,161;-0,177;-0,059;-0,059;-0,144;-0,014;-0,041;-0,178;-0,034;-0,251;-0,151;-0,178;-0,042;
2022-10-11;-0,068;-0,088;-0,089;0,006;-0,167;-0,182;-0,060;-0,062;-0,144;-0,018;-0,042;-0,186;-0,035;-0,250;-0,151;-0,178;-0,044;
2022-10-12;-0,064;-0,085;-0,086;0,014;-0,167;-0,185;-0,060;-0,061;-0,148;-0,016;-0,042;-0,190;-0,036;-0,251;-0,152;-0,178;-0,046;
2022-10-13;-0,075;-0,094;-0,095;0,005;-0,170;-0,185;-0,060;-0,058;-0,151;-0,018;-0,041;-0,191;-0,035;-0,253;-0,153;-0,179;-0,042;
2022-10-14;-0,068;-0,084;-0,084;0,016;-0,156;-0,169;-0,059;-0,057;-0,121;-0,015;-0,041;-0,174;-0,033;-0,240;-0,145;-0,165;-0,046;
2022-10-17;-0,065;-0,082;-0,085;0,016;-0,149;-0,165;-0,058;-0,055;-0,111;-0,016;-0,041;-0,172;-0,033;-0,234;-0,139;-0,157;-0,037;
2022-10-18;-0,067;-0,082;-0,084;0,018;-0,141;-0,158;-0,058;-0,054;-0,104;-0,018;-0,041;-0,171;-0,033;-0,227;-0,136;-0,152;-0,034;
2022-10-19;-0,077;-0,088;-0,087;0,009;-0,148;-0,167;-0,060;-0,057;-0,125;-0,017;-0,041;-0,178;-0,034;-0,236;-0,139;-0,156;-0,039;
2022-10-20;-0,073;-0,086;-0,088;0,005;-0,152;-0,169;-0,061;-0,058;-0,127;-0,014;-0,041;-0,177;-0,035;-0,238;-0,143;-0,163;-0,046;
2022-10-21;-0,072;-0,086;-0,088;0,007;-0,151;-0,168;-0,061;-0,058;-0,130;-0,012;-0,041;-0,178;-0,036;-0,234;-0,143;-0,163;-0,040;
