
# ;[];[];[];[];[];[d&g aktiefond][didner & gerge aktiefond];[d&g global all cap][didner & gerge global];[d&g småbolag][didner & gerge småbolag];[];[];[];[];[];[];[];[dnb global emerging markets s][dnb global emerging markets a];[dnb grönt skifte norden s][dnb grönt norden a];
# ;cicero avkastning a;cicero hållbar mix a;coeli high yield opportunities;cpr invest global gold mines a2;cpr invest global lifestyles a2;d&g aktiefond;d&g global all cap;d&g småbolag;danske invest sicav - aktiv förmögenhetsförvaltning si;danske invest sicav - euro investment grade corporate bond a;danske invest sicav - sverige kort ränta si;danske invest sicav - sverige ränta si;danske invest sicav - sverige si;delphi global a2;delphi nordic acc;dnb global emerging markets s;dnb grönt skifte norden s;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;-0,245;-0,075;;;;;-0,057;;;;-0,173;-0,028;0,631;1,205;
2022-10-06;-0,059;-0,050;;-0,239;-0,076;-0,116;-0,047;-0,099;-0,092;-0,059;-0,049;-0,051;-0,115;-0,173;-0,023;0,636;1,208;
2022-10-07;-0,059;-0,055;;-0,248;-0,077;-0,129;-0,054;-0,112;-0,099;-0,061;-0,050;-0,053;-0,126;-0,179;-0,031;0,629;1,196;
2022-10-10;-0,059;-0,055;;;-0,075;-0,129;-0,055;-0,112;-0,099;-0,063;-0,049;-0,053;-0,126;-0,179;-0,033;0,625;1,194;
2022-10-11;-0,059;-0,057;;-0,255;-0,076;-0,129;-0,060;-0,111;-0,103;-0,063;-0,050;-0,054;-0,133;-0,182;-0,030;0,618;1,198;
2022-10-12;-0,059;-0,059;;-0,252;-0,075;-0,132;-0,063;-0,115;-0,103;-0,064;-0,050;-0,054;-0,133;-0,188;-0,030;0,620;1,198;
2022-10-13;-0,059;-0,057;;-0,257;-0,070;-0,127;-0,063;-0,110;-0,109;-0,065;-0,050;-0,053;-0,144;-0,179;-0,031;0,613;1,195;
2022-10-14;-0,059;-0,060;;-0,276;-0,077;-0,122;-0,061;-0,104;-0,095;-0,066;-0,049;-0,051;;-0,190;-0,024;0,617;1,204;
2022-10-17;;;;-0,267;-0,068;-0,114;-0,058;-0,097;-0,094;-0,065;-0,049;-0,051;-0,119;-0,185;-0,020;0,614;1,209;
2022-10-18;-0,059;-0,056;;-0,269;-0,071;-0,104;-0,058;-0,089;-0,088;-0,065;-0,049;-0,052;-0,109;-0,183;-0,018;0,618;1,213;
2022-10-19;-0,060;-0,058;;-0,280;-0,075;-0,113;-0,062;-0,100;-0,092;-0,067;-0,050;-0,052;-0,115;-0,187;-0,023;0,611;1,207;
2022-10-20;-0,060;-0,059;;-0,273;-0,072;-0,112;-0,062;-0,099;-0,099;-0,068;-0,050;-0,053;-0,127;-0,190;-0,023;0,608;1,203;
