
# ;[dnb health care s][dnb health care a];[dnb smb s][dnb smb a];[dnb teknologi s][dnb teknologi a];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;dnb health care s;dnb smb s;dnb teknologi s;east capital global emerging markets sustainable a;east capital global frontier markets a;enter cross credit a;enter select a;evli emerging markets credit placeringsfonden b;evli finland select placeringsfonden b;evli gem placeringsfonden b;evli global placeringsfonden b;evli high yield placeringsfonden b;evli likviditet placeringsfonden b;evli short corporate bond placeringsfonden b;evli sverige aktieindex b;evli sverige småbolag;fidelity - america fund a;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;0,545;0,988;1,233;;;;;-0,065;-0,062;-0,107;-0,071;-0,105;-0,046;-0,069;-0,142;-0,096;;
2022-10-06;0,547;0,998;1,238;-0,050;-0,127;-0,065;-0,126;-0,065;-0,064;-0,101;-0,069;-0,105;-0,046;-0,069;-0,142;-0,098;-0,022;
2022-10-07;0,538;1,001;1,226;-0,052;-0,127;-0,065;-0,139;-0,064;-0,069;-0,101;-0,075;-0,106;-0,046;-0,067;-0,152;-0,108;-0,026;
2022-10-10;0,538;1,003;1,225;-0,052;-0,123;-0,065;-0,139;;-0,069;;-0,071;-0,108;-0,047;-0,066;-0,153;-0,111;-0,024;
2022-10-11;0,543;0,994;1,223;-0,060;-0,125;-0,065;-0,141;-0,063;-0,068;-0,110;-0,073;-0,110;-0,046;-0,065;-0,154;-0,113;-0,024;
2022-10-12;0,541;0,992;1,222;-0,058;-0,123;-0,065;-0,142;-0,063;-0,068;-0,106;-0,073;-0,111;-0,047;-0,064;-0,154;-0,118;-0,022;
2022-10-13;0,546;0,996;1,228;-0,062;-0,122;-0,065;-0,137;-0,065;-0,064;-0,112;-0,070;-0,112;-0,047;-0,065;-0,148;-0,113;-0,022;
2022-10-14;0,547;1,003;1,225;-0,055;-0,119;-0,065;-0,133;-0,067;-0,061;-0,107;-0,070;-0,110;-0,047;-0,066;-0,145;-0,108;-0,022;
2022-10-17;0,549;1,004;1,230;-0,061;-0,124;-0,065;-0,123;-0,068;-0,052;-0,108;-0,070;-0,109;-0,047;-0,065;-0,136;-0,101;-0,021;
2022-10-18;0,550;1,006;1,232;-0,059;-0,126;-0,065;-0,114;-0,071;-0,052;-0,106;-0,066;-0,108;-0,046;-0,067;-0,130;-0,096;-0,022;
2022-10-19;0,543;1,004;1,228;-0,062;-0,123;-0,066;-0,126;-0,072;-0,055;-0,104;-0,068;-0,108;-0,047;-0,068;-0,132;-0,109;-0,018;
2022-10-20;0,542;1,006;1,229;-0,060;-0,122;-0,066;-0,128;-0,074;-0,057;-0,104;-0,071;-0,109;-0,047;-0,067;-0,137;-0,110;-0,019;
