
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;fidelity - asian pacific opportunities fund a;fidelity - asian special situations fund a;fidelity - china consumer fund a;fidelity - china focus fund a;fidelity - emerging asia fund a;fidelity - emerging markets funds a;fidelity - global high yield fund a;folksam lo sverige;folksam lo världen;fondita global megatrends placeringsfond b;fondita nordic micro cap placeringsfond b;fondita nordic small cap placeringsfond b;franklin biotechnology discovery fund;franklin mutual global discovery fund a;franklin natural resources fund a;franklin technology fund a;franklin us opportunities fund a;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;;;;0,011;-0,097;0,013;-0,154;-0,127;
2022-10-06;-0,022;-0,028;0,064;-0,029;-0,045;-0,032;-0,029;-0,126;-0,112;-0,062;-0,058;-0,068;0,012;-0,101;0,015;-0,155;-0,129;
2022-10-07;-0,027;-0,034;0,058;-0,029;-0,050;-0,037;-0,021;-0,138;-0,120;-0,071;-0,061;-0,074;0,008;-0,101;0,018;-0,168;-0,138;
2022-10-10;-0,033;-0,038;0,046;-0,034;-0,051;-0,040;-0,014;-0,138;-0,120;-0,071;-0,066;-0,076;0,010;-0,096;0,018;-0,174;-0,140;
2022-10-11;-0,040;-0,047;0,036;-0,040;-0,061;-0,047;-0,018;-0,142;-0,126;-0,073;-0,065;-0,076;0,012;-0,099;0,013;-0,183;-0,146;
2022-10-12;-0,038;-0,044;0,037;-0,040;-0,057;-0,045;-0,017;-0,141;-0,123;-0,076;-0,063;-0,077;0,014;-0,099;0,016;-0,181;-0,145;
2022-10-13;-0,040;-0,051;0,028;-0,042;-0,063;-0,048;-0,020;-0,145;-0,130;-0,075;-0,060;-0,070;0,022;-0,088;0,031;-0,175;-0,138;
2022-10-14;-0,037;-0,050;0,029;-0,045;-0,061;-0,047;-0,022;-0,131;-0,117;-0,077;-0,057;-0,065;0,011;-0,099;0,010;-0,195;-0,154;
2022-10-17;-0,034;-0,047;0,035;-0,037;-0,058;-0,044;-0,020;-0,122;-0,119;-0,067;-0,052;-0,059;0,021;-0,088;0,019;-0,176;-0,139;
2022-10-18;-0,041;-0,053;0,028;-0,045;-0,063;-0,051;-0,026;-0,115;-0,115;-0,063;-0,047;-0,053;0,013;-0,091;0,016;-0,177;-0,140;
2022-10-19;-0,041;-0,057;0,017;-0,051;-0,066;-0,051;-0,027;-0,120;-0,118;-0,072;-0,054;-0,063;-0,001;-0,094;0,023;-0,181;-0,146;
2022-10-20;-0,040;-0,054;0,018;-0,044;-0,065;-0,048;-0,024;-0,129;-0,118;-0,071;-0,055;-0,063;-0,000;-0,091;0,027;-0,175;-0,145;
2022-10-21;-0,043;-0,056;0,011;-0,043;-0,065;-0,048;-0,024;-0,127;-0,117;-0,068;-0,053;-0,065;0,011;-0,080;0,042;-0,164;-0,135;
